Unnamed: 0,realSum,room_type,room_private,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm,lng,lat
0,260.85269993171954,Entire home/apt,False,3.0,True,10.0,99.0,1,1.732893381017552,0.2126270630273891,8.496978848776331,4.424871135625918,16.365,48.223
1,146.90727586197713,Entire home/apt,False,3.0,False,10.0,97.0,1,4.807911759774244,0.2282531034796721,5.739643396150461,2.049380369753787,16.333560000000002,48.17459
2,292.1376751436487,Entire home/apt,False,5.0,True,10.0,95.0,2,2.8117726717374003,0.2441628667465064,7.250956955046468,3.618472920043242,16.336,48.211000000000006
3,301.58502224382573,Entire home/apt,False,4.0,True,10.0,94.0,2,3.2405949044170126,0.6104299085746427,6.62258809506262,3.1044889325921967,16.33006,48.20921
4,150.93698018842633,Entire home/apt,False,2.0,True,10.0,96.0,1,2.2411456013369726,1.119506679321442,8.898738477111191,3.6898239495671095,16.38867,48.19104
5,166.10764812652343,Private room,True,2.0,True,10.0,,1,4.611961297509255,0.1999263376405432,3.729599484445128,1.805253730501952,16.39755,48.24682
6,198.7802930809089,Entire home/apt,False,3.0,True,9.0,91.0,1,2.371546720649778,0.452411779628955,8.981587654968383,4.939994334752319,16.34236,48.20436
7,105.15710232597954,Private room,True,2.0,False,8.0,,1,3.629103159217296,0.4731590304161421,4.473088060141057,2.2426182858426134,16.37837,48.24102
8,202.48253575312455,Entire home/apt,False,4.0,True,9.0,86.0,1,2.3013454421702315,0.5043177160124774,9.264223793995376,5.202166401321521,16.3434,48.20412
9,,Entire home/apt,False,2.0,True,10.0,97.0,1,2.01113664380809,0.6790798907984312,10.409301302854251,5.689300930854491,16.34682,48.2062
10,241.96415254787144,Entire home/apt,False,2.0,True,10.0,97.0,1,1.8900614311022708,0.6847805887567694,11.129902634818809,6.345149513383512,16.34843,48.20637
11,250.98856544983127,Entire home/apt,False,2.0,False,9.0,90.0,1,1.3833728671018028,0.1348377746547809,9.191889869439924,5.031186043316072,16.38027,48.22016
12,263.0831632464109,Entire home/apt,False,2.0,False,10.0,100.0,1,1.5902929645780357,0.316954029275263,8.316342670277663,4.4180487439724665,16.38168,48.221790000000006
13,139.7495694560116,Entire home/apt,False,2.0,False,9.0,89.0,1,2.866544015085418,0.6309352144748267,7.62446851310779,3.724605774376238,16.35247,48.18698
14,269.98390264291316,Entire home/apt,False,4.0,False,10.0,87.0,1,1.270137239401398,0.0447239011550992,10.06726489190214,5.53438519799618,16.38021,48.21908
15,445.3360565419462,Entire home/apt,False,6.0,False,9.0,88.0,2,3.645033449117763,1.1125189526714243,5.385328338615851,2.5728254965305326,16.3287,48.22165
16,290.7042707870574,Entire home/apt,False,4.0,True,10.0,97.0,1,1.3459502566018784,0.3547830987730982,10.402369932407046,5.225479363374476,16.39134,48.20589
