Unnamed: 0,realSum,room_type,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,rest_index_norm,lng,lat
1004,95.1618297554778,Private room,2.0,False,8.0,81.14683909235868,1,3.567087335954332,0.9887130405381924,2.74204306355068,16.32623,48.21349
173,277.52161090515756,Entire home/apt,6.0,True,9.0,80.68947371944236,2,2.159343124488129,1.0572901723382655,3.812453152387999,16.38876,48.19193
1065,293.81541813144065,Private room,2.0,True,10.0,,1,4.272806499122878,0.3511060309153417,1.9276121372361743,16.4158,48.18238
242,170.5859503737388,Private room,2.0,True,10.0,89.77803985028946,1,5.7654321902380055,0.2945963261489338,1.5213570414284447,16.43469,48.24057
1316,763.6680354065533,Entire home/apt,4.0,True,10.0,95.1880800205838,2,2.3198701887495274,0.3284320736037689,3.963143631887198,16.34584,48.218
1179,246.0836476459458,Private room,2.0,False,10.0,89.1276056432407,1,3.0666540640272326,0.1699894518488671,2.582498774118459,16.41433,48.21323
1625,305.1496217107933,Entire home/apt,2.0,False,9.0,82.51350744883595,1,0.20418182125208,0.3104276116172788,15.700263724916622,16.37568,48.20728
66,203.25788707845777,Private room,3.0,True,10.0,66.66580760335644,1,1.5507119228952402,0.5581724714728181,4.612854297174983,16.39444,48.20723
863,264.8448354017754,Entire home/apt,2.0,False,9.0,85.09421438355653,1,1.173781024919912,0.15858549818629,5.72473630725871,16.384220000000003,48.21638
350,104.69476452201125,Private room,2.0,False,10.0,78.82055245855713,1,2.346848439715458,0.6509707823708538,4.306020932282595,16.36151,48.189040000000006
355,135.6894976374109,Entire home/apt,3.0,False,10.0,80.84740737828571,1,3.952470713279904,0.1907756608282516,2.28538165118875,16.376160000000002,48.17301
543,187.36329203726027,Entire home/apt,4.0,False,10.0,75.98791301486331,1,3.181412932983862,0.5557999077575583,3.166265086093005,16.33086,48.20929
1270,,Entire home/apt,5.0,False,8.0,74.37002201413404,1,4.373133045849095,0.3210091190143611,2.4064222034794027,16.31805,48.19566
1320,321.51449942501034,Entire home/apt,4.0,False,10.0,,1,,0.3495982613723915,3.683242173118121,16.396910000000002,48.22045
